ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
353, I think we need to give _______ a little more time to think about our proposal before submitting it.,,ourselves,us,themselves,his
354, That appliance store is known for its _______ service., reliable=信頼できる,reliable,relieving,reimbursing,removable
355," Of the ten products we have examined, I think this is the _______ one for the job we want to do.",,best,more better,better,most best
356, The way a store _______ their merchandise in their show windows is a critical factor for sales.,,displays,attracts,looks,demonstrates
357, Air transportation has made fresh fruit and flowers more _______ in other countries.,,marketable,marketing,marketed,market
358, The water conservation project _______ by the World Bank.,,was financed,financed,will finance,be finance
359, Did you _______ my message to all the employees in the security division?,,convey,convince,confirm,connect
360," If you can't find an _______ for that shaver, I wouldn't bother taking it to the U.S.",,adaptor,adaptation,adapting,adapt
361, The tax forms were _______ on the first day of the new year.,,mailed,mailing,to be mail,to mailed
362, The mail order house _______ all others on the same day they were received.,,processed,progressed,promoted,proceeded
363, We can not issue you a passport unless you submit two pieces of authorized _______.,,identification,identify,identifying,identities
364, The food at the restaurant was delicious _______ the prices were a little expensive.,,but,and,either,or
365, The government is trying to encourage more people to _______ their own companies so that more jobs can be created., set up =設立する,set up,gather,find,compose
366, The _______ I received to attend the wedding of a local politician was hand delivered.,,invitation,inviting,invite,invited
367, We haven't received _______ word yet as to the fate of the seamen who were thrown overboard., word = 「知らせ」という意味の場合は不可算名詞,any,the,that,much
368, The special feature of this coat is that it is _______ so you don't have to worry about getting wet.,,reversible,revisable,reviewable,revivable
369," There were some _______ during the operation, so the doctors were not able to save the patient.",,complications,complaints,compromises,compensations
370, I had _______ chance of getting the position in light of the other applicants' qualifications.,  chance は不可算名詞,little,many,few,a lot of
371, The architects were making every effort to _______ the owners of the new hotel.,,accommodate,accommodation,accommodating,accommodates
372, I was _______ by the amount of homework assigned in my first year of college.,,overwhelmed,anxious,stressed,dying
373, Some of the medicine I am taking for my back pains _______ me feel sleepy., medicine に　s がついていないので、不可算名詞。不可算名詞は単数で受ける。,makes,make,are making,have made
374, The stock prices of the companies I _______ with a check should go up this year.,,marked,outlined,pointed,wrote
375, This drink should make you feel _______ after you drink it.,,refreshed,refreshment,refreshing,refresh
376, The Department of Health is recommending _______ medicine as one measure to reduce medical costs., presumptive 推定上の  provocative 刺激的な,preventive,primitive,presumptive,provocative
377, I learned a lot about human nature this summer _______ working for a construction company.,,while,during,because,and
378, Scientists are going to have to be a little more _______ if we hope to overcome air pollution.,,innovative,innovated,innovation,innovate
379," If you are a student with a student loan, you can _______ for a special discount airline ticket.",,qualify,buy,eligible,submit
380, Mr. Williams' trip will _______ him away from the office for three weeks.,,keep,retain,detain,continue
381, I have a few _______ to spend.,,dollars,cash,finances,currency
382, We will be unable to complete the repairs because the necessary parts are out of _______.,,stock,order,print,sight
383," Because of illness, he was forced to _______ the meeting.",,put off,overdo,overtake,take off
384, Mr. Reston was recently _______ to Sydney.,,transferred,transited,transacted,transposed
385, Please return this _______ of the statement with your payment.,,portion,partition,promotion,process
386, Many products currently on the market are _______ to last only a short time.,,made,had,done,caused
387, The employee expects to _______ his report tomorrow because he has only a little work left to do.,,turn in,get over,try on,give up
388, We should have that document on file but it seems to have been _______.,,misplaced,displaced,replaced,placed
389, This _______ may be applied to your account or cashed at a bank., recess=休憩(時間) refund=払い戻し、返金,refund,return,recall,recess
390," If your dealer does not have the books you want, you may _______ them.",,order,send,desire,command
391," When your _______ is complete, obtain all necessary immunizations from your local health department.", immunization=予防接種,itinerary,disease,reaction,idea
392, Residents of the area found the smell of the leaking gas _______., overflow=あふれる overcome=克服する overdo=やりすぎる overpower=圧倒する,overpowering,overflowing,overcoming,overdoing
393, The experiment called for a _______ of alcohol.,,cup,few,box,grain
394, The director wants to find out _______ proposal this is.,,whose,why,how,that
395, We usually _______ that brand available.,,have,has had,have been having,are having
396," During the First World War, the price of silver _______.",,went up,arose,elevated,rose up
397," The dealer wants _______ his cars very quickly, so he's offering special low prices.",,to sell,selling,for selling,to selling
398, The people _______ the meeting expressed concern about the lack of interest.,,attending,attention,attended,attentive
399," After fifteen years in this department, he is _______ doing the same work.",,still,already,once,yet
400, Mr. Scott skipped lunch because _______ so much work to do.,,there was,there are,he has been,he can have
401, Check-out time _______ 1:00 p.m.,,is,at,when,or
402, It was the worst hurricane _______ recorded.,,ever,that,as,was
403, The dictionary lists more than one _______ for that word.,,definition,define,definite,defining
404, Miss Byers fixed the typewriter _______ since the repairman was ill.,,herself,her,she,hers
405, The cost of transporting goods by truck _______ risen with the price of gasoline.,,has,are,was,have
406," If your shipment is not delivered _______ 24 hours, you can claim a full refund on the merchandise.",,within,by,at,until
407," The medical research laboratory was built last year, _______ already it is too small.",,and,or,where,because
408," Ben's brothers, _______ older than he, are working in electronics.",,both,who,and,are
409, The concert _______ at 8:00 and should be finished by 10:30.,,began,begin,beginned,begun
410, The meeting room can accommodate _______ people.,,many,any,much,mostly
411, Everyone who wanted a ticket to the play was able to get _______.,,one,it,any,the
412, Jogging has become the favorite form _______ regular exercise for a lot of people.,,of,as,to,in
413," If I had been told that you would go, I _______, too.",,would have gone,had gone,will have gone,would go
414," Today, office managers expect accuracy, efficiency, and _______ from those they supervise.",,dedication,dedicated,dedicatedly,dedicate
415," Before the dam _______, the river overflowed its banks every spring.",,was built,builds,built,was building
416, Letters from Taipei can reach here the next day _______ the time they are mailed.,,depending on,resulting in,since,according
417, The children playing outside disappeared one by _______ as their parents called them in.,,one,another,themselves,each
418, Economic studies indicated that _______ overestimated the benefits of its project.,,the company greatly,the company is greatly,the company it greatly,greatly is the company
419, The economy is predicted _______ within the next few months.,,to improve,improve,improving,improved
420, The interdepartmental memo said that the promotional film _______ three o'clock.,,starts at,is from,begins with,opens in
421, The application form asks whether you are married or _______.,,single,alone,solitary,one
422," Before joining our firm, Smith _______ Maltex Corporation.",,was employed by,was belonging to,worked,served
423, Let's _______ about that matter later.,,talk,discuss,say,chatter
424," ""_____ some tea? "" ""No, thank you.""",,Would you like,Do you have,Do you like,Let's
425, _____ leave early tomorrow.,,He had better,He will have better,He has better,He will had better
426, You really _____ try to clean this place up.," If you use ""had better"" you cannot use ""to"".... ""You had better try to clean this place up."" is OK. If you want to use ought, you should use ""to"" so... ""You ought to try to clean this place up."" seems correct.",should,ought,had better to,prefer
427, I think you ______ buy the cheapest one.,,ought to,should have,recommend,best to
428, Terri _____ a letter yesterday.,,wrote,sends,send,has written
429, ____ Henry going to come back soon?,,Is,Will,Do,When
430, I can't meet you on Sunday. ____ friends that day.,,I'm visiting,I plan visiting,I will be going for visition,I will schedule to visit
431, I ____ answer his fax yet.,,don't think I'll,think I don't,don't think I,won't think
432, It gets really busy in this office ____,,every April,in every April,in each April,on every April
433, I have ____ the country with my fellow researchers.,,often visited,ever visited,ever been,often been
434, I helped ____ the other day.,,him,he,for he,for him
435, Where are ____?,,mine,my one,my ones,mine ones
436," ""_____ did you come here today?"" ""We came by taxi.""",,How,By,Which,What
437," ""____ cups will we need?"" ""About twelve.""",,How many,How much,What number the,How large number
438," ""_____ bag is this?"" ""It's Jane's.""",,Whose,Who has,Who is,Which of the
439," ""_____ do you eat out?"" ""About once a month.""",,How often,When,How many times,How many months
440, We still have ____ time before the meeting starts.,,much,most,many,lots
441, Pass me ____ please.,,the bread,a bread,some breads,those breads
442, I brought ______ with me., baggage and luggage are uncountable.,two pieces of luggage,two luggages,two baggages,two pieces of luggages
443," I'll have ____ more tea, please.",,a little,lots of,a bit some,some of
444, Shh! Stop ____ so loudly!,,talking,talk,to talk,for talking
445, She refused ______ me.,  refuse to do.... ,to help,helping,her helping,in helping
446, Would you mind ______ the window?," ""Would you mind if I open the window?"" is OK but...",opening,to open,if open,by opening
447, I would really like _____ Rome some day.,,to visit,visiting,if visiting,if I visited
448, Please remember ____ the head office before you go home tonight.,,to fax,faxing,must fax,must faxing
449," ""Have you seen my gloves?"" ""Yes. _____ next to your hat.""",,They're,It's,There is,There are
450, I need ____ new jeans.,,some,a,this,pair of
451, I called the police and ____ now.,,they are coming,it is coming,it comes,they come
452, My ______________________ will also be at our wedding.,,ninety-year-old grandmother,ninety-years-old grandmother,grandmother having ninety years,"grandmother, being ninety years"
453, Ten hours ____ a long time to sit on an airplane.,,is,are,has been,have been
454, _____ drinking so much at last night's party I feel perfectly fine today.,,Despite,Instead of,Regardless,Although
455, Which of these do you ______ I propose at the meeting?,,recommend,want that,believe,want
456, _____ at the training course I learned how to use three new kinds of software., During is a preposition so you cannot use it in this context. While at the training course => While I was at the training course,While,During,Despite,Because
457, Walter explained _____ the purchasing form.,,how to fill out,how if filling out,how I will fill out,how for filling out
458, He _____ not to hear me.,,pretended,acted,showed,demonstrated
459," When you see the hotel, ____ you'll like it.",,I bet,I should,it must be,I'll be sure
460, We've been waiting ____ for them to finish their meeting.,,for over an hour,already an hour,much past an hour,for an hour and more
461, I _____ in this department ever since I started working here., ever since ... があるので、現在完了進行形がよい。,have been working,work,am working,worked
462," ______ Susan arrived, George had already gone home.",,By the time,As soon as,While,At the time
463, I always ____ my desk before going home every day., remember ...ing = ... shitakoto wo oboeteiru. +remember to do = wasurezuni  ... suru.,remember to lock,remember locking,recall to lock,recall locking
464, You really _____ to take a tour of the warehouse too while you're in the town.,,ought,better,must,should
465," If _____, I'd accept his offer.",,I were you,I am you,you were me,you were I
466, At this time last year I _____ in the Personnel section.,,was working,had worked,am working,have worked
467, What _____ tomorrow after work?,,are you doing,do you do,will you happen,is going to
468, Can I ____ that video when you've finished watching it?," lend = kasu, borrow=kariru",borrow,lend,loan,enjoy
469, _____ wants to leave at the break may., Yasumi jikan ni seki wo hanaretai hito wa douzo.,Whoever,Whom,Whomever,Who
470, I ____ him to bring me another cup of coffee., tell somebody to do something....,told,said,made,mentioned
471, He needs to be able to take care of the purchase orders _____ help.,,without,except,despite,alone and no
472, A letter is considered ____ than a fax.,,more formal,not much formal,as formal as,too formal
473, He said he would be away from his desk ______.,,all morning,for all morning,all the morning,for all the morning
474," Excuse me for a minute, the phone ______.",,is ringing,is keeping ringing,now has rang,has been rung
475, I think almost everyone here has _____ about the new computer software.,,a complaint or two,a few complaint,a or two complains,a or two complaint
476," If you don't have ______ for tonight, why don't you join us?",,any plans,much plans,a plan,any plan
477, I want to stop at the post office _____ home tonight.,,on the way,on one's way,as soon as I am going,when I will go
478, I'm planning to leave ______.,,a month from now,a month after now,next month from today,next month from now
479, Today Mr. Friedman is only seeing clients _________., between A and B o'clock = from A to B o'clock,between the hours of two and four o'clock,between two or four o'clock,through two to four o'clock,throughout the hours of two and four o'clock
480, I can stay at the office _____.,,only until seven-thirty,by seven-thirty,not as much as seven-thirty,except seven-thirty
481," We received a fax from Jack this morning, _______?",,didn't we,hadn't he,hadn't we,have we
482, Ted and I _____ to attend the Montreal conference next month.,,are scheduled,will schedule,am scheduled,will be scheduling
483, Younger Japanese have great capacity to learn and it is _____ will be the  leaders of Japan.,,they who,they whom,them who,whom
484," Just _____, I don't think his idea will work.",,between you and me,for you and I,between you and I,inside you and me
485, Please bring a copy of _____ to tomorrow's meeting.,,your sales figures,your figures of sales,your sales' figures,your figures of the sales
486," I remember _____ the information, but I can't remember what I did with it.",,being sent,making sent,was sent,sent
487, Everyone dislikes _____ on hold., put someone on hold = denwa de mataseru...,being put,having put,be put,putting
488, I ____ him to try to help.,,expected,hoped,thought,insisted
489," Fortunately, there haven't been any major problems _____ this week.",,so far,to now,very much,very lately
490, Paul suggested _______ a different route on the way home., suggest cannot be followed by to infintive.,that I try,me to try,me I try,me for trying
491," Terri is Canadian, but she _______ in Japan.",,was born and raised,was born and has been raised,was born and she raised,has been born and had been raised.
492, I ____ from him in almost ten years.,,haven't heard,don't hear,never hear,have never heard
493," _______ he will be able to advise you on that matter, but if he can't, you'd  better ask a lawyer.",,Perhaps,Might,A chance,Seemingly
494," ""Will you need the laptop this afternoon?""  ""_____."""," Native speakers never say ""I don't guess so."" ",I guess not,I'm afraid not,I don't guess so,I not guess
495, I'll give you my cellphone number _____ you can reach me anytime.,,so that,in order to,because,for
496, Bringing in another part-timer for the lunch shift might be ______., worth は目的語が必要。 worthwhile は、「価値がある」worthy は「立派な」,worthwhile,worth,worthy,worthily
497," Here, make an extra ten copies of this, _____?",,will you,shall you,please you,do you
498, _____ a convenience store when you go out?,,Will you be passing,Have you passed,Are you being passed,Will you have passed
499, I hurt my back _______.," hurtはここでは過去形。従って、 lift も過去のことなので過去形にする必要がある。 なので、""I hurt my back when I lifted the box."" にすべき。 lifting the box は分詞構文で、 when I lifted the box のことなので正解。",lifting the box,when I lift the box,while I lift the box,to lift the box
500, Lots of things have happened ________.,,since we last spoke,when we last spoke,as soon as we last spoke,after we last spoke
501, I _____ to come to work any earlier in the mornings than I usually do.," The verb ""dislike"" does not take to infinitive but gerund.",couldn't bear,dislike,don't enjoy,mind
502," I ____ him to accept the job in sales, since it offered better benefits  than the other positions he was offered.", Sugget cannot take to infinitive.,encouraged,warned,concerned,suggested
503, Sales this quarter have well _____ our expectations.," concede=mitomeru, proceed=susumu, succeed=...ni tsuzuku, exceed=...wo koeru",exceeded,proceeded,conceded,succeeded
504, He threatened ____ his business elsewhere., threaten to do = ....suru zo to odosu,to take,taking,for taking,take
505, I _____ to procrastinate when I have a major project at work.," procrastinate=hikinobasu, temadoru",tend,afford,manage,intend
506, He took the file off his boss' desk _____.,,without anybody seeing him,except for no one seeing him,including not being seen by anybody,with not being seen
507, I'm really looking forward _____ you again some day.," ""look forward to"" should be followed by noun. In this case visiting is not  gerund.",to visiting,to visit,for visiting,regarding visiting
508," _______ last year's poor market for color copiers, this year's market has  been very good indeed.",,In contrast to,Except for,In addition to,However
509, He's ______ his father.,,not as well-known as,not well-known more than,not well-known than,"well-known, but not such as"
510, I might ______ input these figures too as long as I'm at it.,,as well,try,as far as,as long as
511, Our section can order any supplies we need ____ they cost less than one  hundred dollars in total.,,so long as,seeming,except,if providing that
512, His performance rating was _____.,,the same as mine,as same as my own one,the same with mine,as much the same as mine
513, I don't want to go home _______.,,until it stops raining,unless it's the time it is not raining,except if no longer raining,unless there will be no rain
514, This new software can ______ a variety of different functions.,,perform,compose,invent,construct
515, Apparently it _____ before I woke up this morning.," ""has raining"" is absolutely wrong. This must be past perfect tense since there  is ""before I woke up ..."". ",had been raining,had raining,has rained,has been raining
516, I'm reading a book ______ than the kind I usually read.,,which is more serious,more serious,is more serious,less than serious
517, I don't have the power to ____ an agreement with you., to make an agreement is a fixed phrase.,make,promise,do,decide
518, Inflation there _____ 370% so far this year.," ""has raised"" is absolutely wrong. rise rose risen. There is ""so far""   so it should be perfect tense.",has risen,is rising,rises,has raised
519, Neither of these materials _____ to be used., Neither should be single. Both should be plural.,is strong enough,are strong enough,is equally strong,are equally strong
520, I ______ so much at the party last night.," ""mustn't have eaten"" = tabe nakatta ni chigai nai.  ""shouldn't have eaten"" =  taberu beki dewa nakata (but ate )",shouldn't have eaten,should have not ate,shouldn't have ate,mustn't have eaten
521, We ______ our flight reservations earlier. We waited much too long.,"  ""must have made"" = ...shita ni chigai nai. ""should have made"" = ...suru beki  datta ( but didn't make)",should have made,had made,must have made,didn't make
522, They are demanding that they _____ higher wages on Sundays and holidays.," They are demanding that they should receive... is also OK. ""should"" is just  omitted.",receive,received,will receive,had receive
523, This room would be much brighter if you _____ the curtains open., the subjunctive mood.,kept,had kept,keep,would have kept
524, There is a man at the reception desk _____ says he would like to see you.,,who,which,at which,for whom
525, He _____ a new plan for streamlining the record-keeping process.," streamline=gorika suru. to turn up = increase, to put forward = suggest  ,to put up with = bear",put forward,put up with,turned up,agreed for
526, You're working tomorrow? But this morning you said you ____ off!, jisei (tense) no icchi.... you said you had... mirai no kotodemo kakutei  shitereba will wa tsukawanai....,had,have,will have,will be having
527, He admitted _______ the IDs of people entering the building.," admit ...ing. The verb ""admit"" takes a gerund...",not properly checking,not to check properly,checking not properly,having been checking not properly
528, The proposal ______ because there was no money to implement it.," to fall through=to be not accomplished, to fall off=to become bad, to fall   under=to be classified, to fall out=to cease to be friends",fell through,fell under,fell off,fell out
529, I don't want to take out another loan. I'm already ten thousand dollars in  ______., deficit=the amount by which a sum of money falls short,debt,deflation,decline,deficit
530, There isn't _____ for advice., There isn't anyone whom I can ask for advice. is also OK.,anyone to ask,anyone who to ask,anyone for asking,someone to whom I can ask
531," _____ unemployed, she doesn't have much money for the present.", Being unemployed is participial construction(bunshi kohbun),Being,As,Because,As a result of
532, We want our store open _____ during December.,,as late as possible,as late as it can,as late as it could,as possible as possible
533, I'll go home after I've _____ the report.,,finished typing up,delayed typing up,interrupted typing up,stopped for typing up
534," It was ____, not her sister, who was working here last summer.",,she,her,herself,hers
535," As one of the top ____ in this company, her opinions were highly respected.",,executives,CEOs,presidents,owners
536," If it ______ tomorrow, the picnic will be canceled."," In this context... you cannot say ""if it will rain..."".",rains,rained,will rain,shall rain
537, I'll need that report on my desk ____ half past ten.," ""...on my desk at half past ten at the latest."" is also OK.",at latest by,over,so long as,since
538, _______ that by 2025 a computer will be in almost every home.,,It is thought,One thinks,The thought,To think
539, I _____ fishing in the river when I was a child.,  be used to --ing means ...suru koto ni narete iru.,used to go,would often to go,used to going,was used to go
540, We were able to submit the report on time ____ our initial delays.,,in spite of,lacking,except,although
541, Please hold your comments on this until _____., You must use the present tense in an adverbial clause.,John comes,John will come,John will have come,John came
542," _____ the memo, the meeting will be on Monday, not Friday.",,According to,By,Via,Concerned
543, It's time we _____ a break., The subjunctive mood (kateihou kako)....,took,take,should take,will take
544, Some of my co-workers arrived _____ seven o'clock this morning.,,as early as,not even by,until,at already
545, It took me ______ to get here this morning.,,not even two hours,two hours just,not so long two hours,up to two hours
546, Can you answer the phone _____?, The present tense should be used in an adverbial clause.,while I am out,after I am out of,after I will be out of,while I will be out
547, How long ____ when the courier finally arrived?, The past perfect progressive form should be used in this case.,had you been waiting,are you waiting,were you waiting,have you been waiting
548, I think I'd rather _____ the Denver conference this year.," The word ""rather"" can be omitted.  And if it is omitted, ""I would not attend""  is only the possible answer....",not attend,to not attend,not to attend,I won't attend
549, The Ease Wing will be undergoing _____ over the winter holidays.," to renovate=to make new again; bring back to a former condition.  to reform = to make better, improve the condition.",renovations,reform,refreshment,rearrangements
550, I wish I ____ so many errands to run today., The past tense is to be used in the subjunctive mood.,didn't have,shouldn't have,needn't have,won't have
551, He is hard-working and efficient ______.,,as well as considerate,and considerate additionally,saying nothing of being considerate,not to mention considerate also
552, I'd like you to _____ some time next Wednesday to show the new intern around  the office.,,set aside,give away,take away,put off
553," He promised ____ to me, but I haven't heard from him at all.",  promise to do.. or promise that S+V.,he would write,he will write,he will be writing,writing
554," Even _______, there is a lot of disagreement over what this law means.",,among us lawyers,despite we lawyers,throughout us lawyers,among we lawyers
555," They didn't want to give us the contract at first, but we were able to _______  them to give it to us.", Let and have cannot take to infinitive. Get can take it.,get,have,let,insist
556, It's _______ a new computer if the old one still works fine.,  It's a waste of ... も文法的には正しいが、 It's a waste of money のように使う。新しいコンピュータを買うことの浪費、は意味が不明。,not worth getting,too much getting,no point in getting,a waste of getting
557," I was warned _______ buying this model, but I bought it anyway.",  To warn somebody against ...ing = xxx ni shinaiyou chuukoku suru,against,from,with,towards
558, I'll be back here to meet you after lunch tomorrow _______ you prefer to meet   me in the morning.,,unless,provided,in case,as long as
559, I'd better call them _______ that fax didn't go through clearly.,,just in case,because if,so that,as a result of
560, We haven't been in contact _______ for at least five years.,"  To be in contact with somebody... so ""with"" is needed before ""one another""  ""with eacho other"" is also acceptable....",with one another,to each other,each other,one another
561, I would certainly _______ if I had enough time.,,go,have gone,to have gone,went
562, We saw the accident _______., see + object + bare infinitive (to nashi futeishi),happen,happened,when happening,when it had been happened
563, _______ anyone strange leaving the building in a rush?,,Did you notice,Were you noticing,Have you been noticing,Will you have been noticing
564, You should _______ our discussion of this mater finished!,,consider,regard,mind,know
565, Frank's German is better than _______ his wife.,,that of,that German of,such of,it of
566, We'll need to have the budget for the next fiscal year _______ by October.,,drawn up,got done,let down,done for
567, The boss doesn't _______ personal e-mail on company computers.," permit must take direct object (person) like ""permit me to do""",approve of sending,permit to send,decide for sending,think well about sending
568," While Mr. Carter is not our top salesman, he has a very _______ track record."," respectable=kanari no, respect=sonkei suru, respectful=tenei na,   respective=ko ko no; sorezore no",respectable,respective,respect,respectful
569, I asked him _______ he had scheduled an appointment with.,,whom,for whom,to whom,with whom
570, I _______ asleep when the phone rang; I didn't hear it at all.,  Asleep is an adjective.,must have been,could have been,must have,must be
571, We still have two more issues _______ to resolve before we go home today.,,left,leaving,to leave,to be leaving
572," We ought to go half an hour early, _______?","  You cannot say ""oughtn't we?"" since ought must be followed by ""to"".",shouldn't we,ought we,oughtn't we,mustn't we
573, To become a craftsman you must have _______ for detail.,,an eye,the eye,eyes,one's eye
574, You'd be able to get up earlier _______ to bed earlier., 現在の事実の反対の仮定法過去,if you went,if you'd gone,if you go,if you'd went
575, You'd have received your approval already if _______ your application on time., katei hou kako kanryou....,you had turned in,you turned in,you would have turned in,you turn in
576, Did you hear _______ last night?,  To have something (a past participle),Bill had his car stolen,Bill was stolen his car,Bill's car had being stolen,Bill had been stolen his car
577, They visited the church _______ they had gotten married in 1986.,"  where is also OK but ""at where"" does not make sense.",at which,at where,what,that
578, You'll feel better _______ something.,,when you eat,when you'll eat,when you'll have eaten,if you ate
579, Rick _______ his train; he left the office with plenty of time to get to the  station., couldn't have missed=noriokureta hazu wa nai.,couldn't have missed,must have missed,probably was missed by,surely did missed
580, Many American remember exactly _______ when they first heard that President Kennedy had died.,,what they were doing,what they have been doing,what they have done,what they are doing
581," Had I known you _______ today, I would have brought an extra copy with me."," If I had known you were coming today,.... (Subjunctive mood)",were coming,must have come,had been coming,have been coming
582," I would like _______ an extra day of vacation, but I needed to finish this   project.", would like to do (present tense) ==> would like to have done (past tense),to have taken,to be taken,to have been taken,taking
583, I'd rather you _______ us by fax than by e-mail., This sentence is subjunctive mood so you should use past tense. (same as I wish),contacted,contact,will contact,have contacted
584," I _______ the cafeteria very often, but I started going regularly when I got  tired of making my own lunch every day.", used to do (positive) ==> didn't use to do (negative),didn't use to dine in,rarely dine in,don't dine in,haven't had dining in
585," If you call in the morning, I _______ with our accountant, so it's better if you call in the afternoon.",,might still be meeting,might still have been meeting,could still have been,am still being
586, It's _______ his ability as his attitude that's the problem., It is ..... that ....  not so much A as B = B rather than A,not so much,as,rather,rather as
587, I had suggested _______ at his job interview early.," When the verb suggest, demand or request takes a clause, the verb in the   clause must be its original form or must follow an auxiliary verb ""should"".",he arrive,him to arrive,he will arrive,him for arriving
588, This time we have had about _______ as usual for this kind of position.,,twice as many applicants,applicants twice the number,double as more applicants,applicants twice the size
589, My boss insisted _______ at last Wednesday's staff meeting.,"  insist on --ing.  ""My boss insisted that I (should) be present at..."" is also OK.",on my being present,my being present,at my presence,my presence
590," If the bus _______ just then, I would have never made it here on time.",,hadn't arrived,had arrived,had had an arrival,arrived
591, Only rarely _______ for a copy for the manual in a foreign language., Inverted sentence!,does anyone ask,anyone asks,will anyone do asking,asks anyone
592, I _______ anything when he's in that kind of mood.," The word ""dare"" is an auxiliary verb so that must be followed by verb in its  original form. ""don't dare ask"", ""dare not ask"" and ""darn't ask"" are all OK.",don't dare ask him,can't dare asking him,shall not asking him,don't dare asking him
593, Not once _______ late., This is an inverted sentence and perfect tense.,has Jack ever been,did Jack ever be,Jack is,Jack has been
594, We _______ the parts over a week ago. Now the bill has arrived but the  parts haven't.,,ordered,asked,requested for,demanded
595," ""Who fixed Jean's chair?""  ""_______."""," Other than ""Jean herself"", they are very bad Einglish.",Jean herself,Jean she herself,Jean her own self,Jean oneself
596, I'll finish making these charts _______ the weekend.,,over,throughout,through,while
597," _______ the pre-holiday shopping season has begun, I have to work a lot of overtime at the store.",,Now that,Yet,So that,But that
598, _______ to hear about your promotion!," The word ""excitement"" is an uncoutable noun so that you cannot say ""an excitement"".",How exciting,Such exciting,Such an excitement,What an excitement
599," _______ the bus doesn't come soon, I'm going to have to take a taxi.",,If,Because,When,Although
600, We need to _______ the amount of paper we use for copying.,,cut down on,let up,go against,take down
601, The man _______ stealing money from the register., regret doing = ...shita koto wo kohkai suru.  regret to do = zannen nagara suru.,regretted,complained,pained,was sorry
602, Pete _______ about his new job and all the interesting people he worked with., The verb mention does not take about.,talked,mentioned,related,said
603," ""I don't have a key to the computer room."" ""_______."""," ""Me, eigher"" or ""I don't, either"" is also OK....",Neither do I,"Me, too",So do I,Neither have I
604, I have to _______ to look over the budget tomorrow., remember to do = wasurezuni ... suru.  remember doing = shita koto wo oboeteiru.,remember,remind,advise,enable
605," If I had _______, I would travel more."," ""If I had much more time, ...."" is also OK.",the time,much timer more,the time enough,such lot of time
606," ""What time are you coming in tomorrow?""  ""I _______ here by 8:30, same as usual.""",,should be,am being,be,should have been
607, That technical manual is _______.,,easy enough for me to understand,good enough in easy understanding for me,just right for understanding easily,enough easy to understand by me
608, Five thousand dollars for a new computer seems rather _______ to me.,,excessive,extra,extravagance,excess
609, I only wish I _______ more experienced in dealing with this kind of problem., experienced は形容詞　仮定法過去なので、 be experienced --> were experienced,were,have,can,am
610," If you set _______ goals, don't be surprised if you can't achieve them.",,unrealistic,unofficial,unorganized,unprofitable
611, We can _______ put off hiring a replacement secretary.,,no longer,no more longer,any longer,not longer
612, _______ his wife refuses to defend his behavior.,,Even,Also,Especially,Including
613, You should have done it _______.,,as I told you,like I told you,like how I told you,what I told you
614, So far this morning I _______ concentrate on my work., So far(今のところ) は、現在完了(Present perfect tense.)に好んで使われる。,haven't been able to,can't be able to,can't have been able to,couldn't
615," Even if Larry is out of town, there _______ some way to get that data from his files.",,must be,should have,might probably,had to have been
616, I know he likes movies a lot. He _______ five movies a week., must = ...ni chigai nai.,must watch,should watch,can watch,hopes watching
617, I think that the best person to represent Meg is _______.,,Meg herself,Meg oneself,Meg her own self,Meg by herself
618, The chairman _______ that he had done anything wrong.," If you want to use ""admitted"" then you should  use ""something"" instead of ""anything"".",denied,admitted,postponed,avoided
619, This software is so complicated that _______ very often.,,it doesn't get used,it isn't made to use,it isn't using,it's being used is not
620," For local electric rates, this _______ the biggest rate cut of the decade.",,is said to be,is said as,is mentioned that,is thought which
621, These figures need _______ in the Murphy report.,,to be included,to be including,be included,included
622, He is known _______ the most influential economist alive today.,,as,with,for,since
623," _______, avoid using the elevator."," fire(火事)は a をつけるようだが、「火事の時」という意味では、in case of fire と ""a""　をつけてはいけない。",In case of fire,In cases of fires,In case of a fire,In case of the fire
624," Let's have a break for about ten minutes, _______?",,shall we,let's not we,don't we,let we
625, Ted's flight _______ yet.,,couldn't have arrived,won't be arrived,isn't arrived,mustn't arrive
626, He refused to tell us why _______ to last Friday's meeting., Any others are terrible English.,he didn't come,didn't he come,his coming didn't,about he didn't come
627, Somehow we _______ to get Ben to join us for a drink after work.,,managed,forced,persuaded,convinced
628, Don't feel guilty about not inviting Fred; he _______ come tonight anyway.," mustn't have = past tense of must not which means ""shitewa ikenai""",couldn't have,mustn't have,won't have,isn't going to have
629," I'm the last to arrive, _______?",,aren't I,am not I,isn't it,that's it
630, I'm surprised to see you here today. I heard you _______ in Korea until next  week., Jisei no icchi.,would be,have been,are,will be
631, Do you wish you _______ a year off before entering the work force?," katei hou kako kanryou ""...shite ireba yokata noni""",had taken,took,were taking,will have taken
632, I have been living in this area _______.,,a year now,a year until now,a year ago,a year from now
633," ""Did anyone tell Joe the news?""   ""He _______. I really don't know.""",,might have been told,might have told,might be told,should have told
634, I need to go to the bank _______ the lunch break., madeni....,by,on,while,about
635, I have to work every _______ Saturday., kakushuu no doyoubi.. ,other,week,week's,time
636, The minute the phone rang I knew immediately who it _______.," ""who it was"" nara OK kana?",must be,was calling,is,was called
637, We decided to substitute margarine _______ butter., substutute something for something...,for,by,with,to
